-1.0	0.0   	1.0   	2.0   	3.0   	4.0   	5.0   	6.0   	7.0   	8.0   	9.0   	10.0  	11.0  	12.0  	13.0  	14.0  	15.0  	16.0  	17.0  	18.0  	19.0  	20.0  	21.0  	22.0  	23.0  	24.0  	25.0  	26.0  	27.0 	28.0  	29.0 
0.0 	0.999 	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0  	0.0   	0.0  
1.0 	0.064 	0.999 	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0  	0.0   	0.0  
2.0 	0.659 	0.053 	0.999 	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0  	0.0   	0.0  
3.0 	0.013 	-0.252	-0.055	0.999 	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0  	0.0   	0.0  
4.0 	0.049 	-0.104	0.02  	0.075 	0.999 	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0  	0.0   	0.0  
5.0 	0.021 	-0.115	-0.02 	0.121 	0.662 	0.999 	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0  	0.0   	0.0  
6.0 	-0.038	0.089 	-0.01 	-0.076	-0.717	-0.624	0.999 	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0  	0.0   	0.0  
7.0 	0.355 	0.044 	0.537 	-0.382	-0.026	-0.112	0.049 	0.999 	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0  	0.0   	0.0  
8.0 	-0.03 	-0.033	-0.025	0.25  	-0.071	-0.014	0.047 	-0.095	0.999 	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0  	0.0   	0.0  
9.0 	0.108 	-0.191	0.067 	0.676 	0.102 	0.149 	-0.099	-0.319	0.171 	0.999 	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0  	0.0   	0.0  
10.0	-0.053	0.349 	-0.019	-0.054	-0.047	-0.051	0.041 	0.103 	-0.016	-0.076	0.999 	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0  	0.0   	0.0  
11.0	0.049 	-0.446	-0.074	0.566 	0.098 	0.134 	-0.094	-0.207	0.194 	0.436 	-0.105	0.999 	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0   	0.0  	0.0   	0.0  
